id;dict_name;dict_key;disabled;sort_value;built_in;sync_enum
1;可视权限类型;ViewPermissionType;0;1;1;1
2;链接目标;TargetType;0;2;1;1
3;Api权限类型;ApiPermissionType;0;3;1;1
4;Api权限状态;ApiPermissionState;0;4;1;1
5;通知类型;MessageSendType;0;5;1;1
6;短信模板类型;SmsTemplateType;0;6;1;1
7;短信厂商;SmsProvider;0;7;1;1
8;OSS提供商;OssProvider;0;8;1;1
9;字段类型;CommonFieldType;0;9;1;1
10;区域等级;RegionCodeLevel;0;10;1;1
11;重置频率;ResetFrequency;0;11;1;1
12;字段参数类型;FieldParamType;0;12;1;1
13;推送状态;SendStatus;0;13;1;1
14;优先级;PriorityLevel;0;14;1;1
15;消息类型;AnnoCategory;0;15;1;1
16;通告对象类型;ReceiverType;0;16;1;1
17;发布状态;AnnoSendStatus;0;17;1;1
18;业务类型;AnnoBusinessType;0;18;1;1
19;打开方式;AnnoOpenType;0;19;1;1
20;任务状态;JobStatus;0;20;1;1
21;日志类型;LogType;0;21;1;1
22;操作类型;OperateType;0;22;1;1
23;表单配置类型;FormConfigType;0;23;1;1